Date,Close,Open,High
2018-10-30,"1,091.03","1,042.56","1,105.74"
2018-10-29,"1,056.10","1,032.57","1,067.40"
2018-10-26,"1,044.26","1,072.42","1,085.33"
2018-10-25,"1,056.83","1,006.51","1,066.19"
2018-10-24,"1,025.99",993.84,"1,036.71"
2018-10-23,979.52,991.31,"1,007.97"
2018-10-22,991.31,"1,001.59","1,025.02"
2018-10-19,983.85,976.30,"1,002.61"
2018-10-17,980.44,"1,066.92","1,069.99"
2018-10-16,"1,045.04","1,027.94","1,059.90"
2018-10-15,"1,016.05","1,026.97","1,026.97"
2018-10-12,"1,013.28","1,029.40","1,115.63"
2018-10-11,"1,019.51",979.22,"1,054.25"
2018-10-10,"1,052.25",941.22,"1,071.01"
2018-10-09,931.34,910.92,969.68
2018-10-08,916.43,"1,002.41","1,012.06"
2018-10-05,"1,017.22","1,050.84","1,068.86"
2018-10-04,"1,066.14","1,081.53","1,099.02"
2018-10-03,"1,050.26","1,110.76","1,123.87"
2018-10-01,"1,110.13","1,120.51","1,123.43"
2018-09-28,"1,121.43","1,131.32","1,154.17"
2018-09-27,"1,120.36","1,152.90","1,157.53"
2018-09-26,"1,158.46","1,155.24","1,174.00"
2018-09-25,"1,146.67","1,091.28","1,171.17"
2018-09-24,"1,106.13","1,124.50","1,131.91"
2018-09-21,"1,131.32","1,162.40","1,181.45"
2018-09-19,"1,161.48","1,174.19","1,183.79"
2018-09-18,"1,158.21","1,169.22","1,186.47"
2018-09-17,"1,166.49","1,183.79","1,183.79"
2018-09-14,"1,183.94","1,114.66","1,194.56"
2018-09-12,"1,147.16","1,167.28","1,169.71"
2018-09-11,"1,156.22","1,169.22","1,179.36"
2018-09-10,"1,161.72","1,180.92","1,198.36"
2018-09-07,"1,181.45","1,178.97","1,196.51"
2018-09-06,"1,167.47","1,230.61","1,233.53"
2018-09-05,"1,227.59","1,253.02","1,280.25"
2018-09-04,"1,263.98","1,282.25","1,299.45"
2018-09-03,"1,279.96","1,314.40","1,332.48"
2018-08-31,"1,301.54","1,300.76","1,315.33"
2018-08-30,"1,307.68","1,326.05","1,326.05"
2018-08-29,"1,314.35","1,305.58","1,322.59"
2018-08-28,"1,301.74","1,320.25","1,334.04"
2018-08-27,"1,323.12","1,286.15","1,329.99"
2018-08-24,"1,269.73","1,291.99","1,298.18"
